Code,Name,Freq_Score,3Y,5Y,10Y,15Y,20Y,Avg_Return,Std_Dev,Risk_Grade
133327,Reliance Fixed Horizon Fund XXVIII- Series 2- Direct Plan-Growth Option,0,8.18,-100.0,-100.0,-100.0,-100,8.18,0.69,Low
133472,Reliance Fixed Horizon Fund XXVIII- Series 4-Direct Plan- Growth Option,0,8.33,-100.0,-100.0,-100.0,-100,8.33,0.0,Low
136000,Reliance Fixed Horizon Fund XXX- Series 1 -Direct Plan- Growth Option,0,7.91,-100.0,-100.0,-100.0,-100,7.91,0.86,Low
136510,Reliance Fixed Horizon Fund XXX- Series 13 -Direct Plan- Growth Option,0,7.87,-100.0,-100.0,-100.0,-100,7.87,0.0,Low
133842,Reliance Fixed Horizon Fund XXVIII- Series 7- Direct Plan-Growth Option,0,8.45,-100.0,-100.0,-100.0,-100,8.45,0.0,Low
136438,Reliance Fixed Horizon Fund XXX- Series 10- Direct Plan-Growth Option,0,7.93,-100.0,-100.0,-100.0,-100,7.93,0.0,Low
136127,Reliance Fixed Horizon Fund XXX- Series 4 -Direct Plan- Growth Option,0,7.93,-100.0,-100.0,-100.0,-100,7.93,0.88,Low
136452,Reliance Fixed Horizon Fund XXX- Series 11- Direct Plan-Growth Option,0,7.27,-100.0,-100.0,-100.0,-100,7.27,3.63,Low
138224,Reliance Fixed Horizon Fund XXX- Series 14 -Direct Plan- Growth Option,0,5.86,-100.0,-100.0,-100.0,-100,5.86,4.74,Avg
136031,Reliance Fixed Horizon Fund XXX- Series 2 -Direct Plan- Growth Option,0,7.96,-100.0,-100.0,-100.0,-100,7.96,0.87,Low
136453,Reliance Fixed Horizon Fund XXX- Series 12- Direct Plan-Growth Option,0,7.85,-100.0,-100.0,-100.0,-100,7.85,0.0,Low
139145,Reliance Fixed Horizon Fund XXX- Series 17- Direct Plan-Growth Option,0,7.9,-100.0,-100.0,-100.0,-100,7.9,0.0,Low
139247,Reliance Fixed Horizon Fund XXX- Series 18- Direct Plan-Growth Option,0,7.26,-100.0,-100.0,-100.0,-100,7.26,0.0,Low
139267,Reliance Fixed Horizon Fund XXX- Series 19- Direct Plan-Growth Option,0,7.94,-100.0,-100.0,-100.0,-100,7.94,0.0,Low
136172,Reliance Fixed Horizon Fund XXX- Series 5- Direct Plan- Growth Option,0,7.96,-100.0,-100.0,-100.0,-100,7.96,0.87,Low
136058,Reliance Fixed Horizon Fund XXX-Series 3- Direct Plan-Growth Option,0,9.1,-100.0,-100.0,-100.0,-100,9.1,7.91,High
136233,Reliance Fixed Horizon Fund XXX- Series 6- Direct Plan-Growth Option,0,7.79,-100.0,-100.0,-100.0,-100,7.79,0.85,Low
139347,Reliance Fixed Horizon Fund XXX- Series 20- Direct Plan-Growth Option,0,9.58,-100.0,-100.0,-100.0,-100,9.58,0.0,Low
136315,Reliance Fixed Horizon Fund XXX- Series 8- Direct Plan- Growth Option,0,7.02,-100.0,-100.0,-100.0,-100,7.02,3.61,Low
139413,Reliance Fixed Horizon Fund XXXI Series 2 - Direct Plan - Growth Option,0,9.09,-100.0,-100.0,-100.0,-100,9.09,0.0,Low
136311,Reliance Fixed Horizon Fund XXX- Series 7- Direct Plan-Growth Option,0,7.9,-100.0,-100.0,-100.0,-100,7.9,0.0,Low
139464,Reliance Fixed Horizon Fund XXXI- Series 4- Direct Plan-Growth Option,0,9.33,-100.0,-100.0,-100.0,-100,9.33,0.0,Low
139575,Reliance Fixed Horizon Fund XXXI- Series 6- Direct Plan-Growth Option,0,5.67,-100.0,-100.0,-100.0,-100,5.67,0.0,Low
139542,Reliance Fixed Horizon Fund XXXI- Series 5- Direct Plan-Growth Option,0,7.58,-100.0,-100.0,-100.0,-100,7.58,0.0,Low
139379,Reliance Fixed Horizon Fund XXXI- Series 1- Direct Plan-Growth Option,0,7.94,-100.0,-100.0,-100.0,-100,7.94,0.0,Low
139796,Reliance Fixed Horizon Fund XXXI- Series 11- Direct Plan-Growth Option,0,5.65,-100.0,-100.0,-100.0,-100,5.65,0.0,Low
129020,Reliance Fixed Horizon Fund- XXVI- Series 13- Direct Plan - Growth Option,0,8.5,-100.0,-100.0,-100.0,-100,8.5,0.0,Low
128966,Reliance Fixed Horizon Fund- XXVI- Series 12- Direct Plan - Growth Option,0,8.47,-100.0,-100.0,-100.0,-100,8.47,0.0,Low
129186,Reliance Fixed Horizon Fund- XXVI- Series 16- Direct Plan - Growth Option,0,9.9,-100.0,-100.0,-100.0,-100,9.9,0.0,Low
129521,Reliance Fixed Horizon Fund- XXVI- Series 21- Direct Plan- Growth Option,0,9.35,-100.0,-100.0,-100.0,-100,9.35,0.0,Low
129682,Reliance Fixed Horizon Fund XXVI- Series 23- Direct Plan- Growth Option,0,8.84,-100.0,-100.0,-100.0,-100,8.84,0.57,Low
129418,Reliance Fixed Horizon Fund- XXVI- Series 19- Direct Plan- Growth Option,0,8.5,-100.0,-100.0,-100.0,-100,8.5,0.0,Low
129730,Reliance Fixed Horizon Fund XXVI- Series 25- Direct Plan- Growth Option,0,8.51,-100.0,-100.0,-100.0,-100,8.51,0.55,Low
128637,Reliance Fixed Horizon Fund- XXVI- Series 6- Direct Plan - Growth Option,0,7.87,-100.0,-100.0,-100.0,-100,7.87,0.47,Low
131379,Reliance Interval Fund III- Series 1- Direct Plan- Growth Option,0,7.78,-100.0,-100.0,-100.0,-100,7.78,0.0,Low
122227,Reliance Yearly Interval Fund - Series 7 - Direct Plan - Growth Option,0,8.35,-100.0,-100.0,-100.0,-100,8.35,0.4,Low
128688,Reliance Fixed Horizon Fund- XXVI- Series 7- Direct Plan - Growth Option,0,8.52,-100.0,-100.0,-100.0,-100,8.52,0.0,Low
128841,Reliance Fixed Horizon Fund- XXVI- Series 9- Direct Plan - Growth Option,0,7.75,-100.0,-100.0,-100.0,-100,7.75,0.47,Low
121177,Reliance Yearly Interval Fund - Series 3 - Direct Plan - Growth Plan - Growth Option,0,8.8,-100.0,-100.0,-100.0,-100,8.8,0.48,Low
149043,SBI Fixed Maturity Plan (FMP) - Series 46 (1850 Days) - Direct Plan - Growth,0,7.39,-100.0,-100.0,-100.0,-100,7.39,0.45,Low
149147,SBI Fixed Maturity Plan (FMP) - Series 49 (1823 Days) - Direct Plan - Growth,0,7.62,-100.0,-100.0,-100.0,-100,7.62,0.47,Low
149195,SBI Fixed Maturity Plan (FMP) - Series 51 (1846 Days) - Direct Plan - Growth,0,7.66,-100.0,-100.0,-100.0,-100,7.66,0.49,Low
146974,SBI Fixed Maturity Plan (FMP) - Series 1 (3668 Days) - Direct Plan - Growth,0,8.47,6.75,-100.0,-100.0,-100,7.61,1.21,Low
149174,SBI Fixed Maturity Plan (FMP) - Series 50 (1843 Days) - Direct Plan - Growth,0,7.63,-100.0,-100.0,-100.0,-100,7.63,0.49,Low
121286,Reliance Yearly Interval Fund - Series 4 - Direct Plan - Growth Plan - Growth Option,0,8.39,-100.0,-100.0,-100.0,-100,8.39,0.45,Low
149232,SBI Fixed Maturity Plan (FMP) - Series 52 (1848 Days) - Direct Plan - Growth,0,7.64,-100.0,-100.0,-100.0,-100,7.64,0.49,Low
149345,SBI Fixed Maturity Plan (FMP) - Series 55 (1849 Days) - Direct Plan - Growth,0,7.69,-100.0,-100.0,-100.0,-100,7.69,0.56,Low
149307,SBI Fixed Maturity Plan (FMP) - Series 54 (1842 Days) - Direct Plan - Growth,0,7.7,-100.0,-100.0,-100.0,-100,7.7,0.56,Low
